║;291×;12.99%;" "
¿;195×;8.71%;" "
±;171×;7.63%;" "
¥;153×;6.83%;" "
╣;146×;6.52%;" "
╗;141×;6.29%;" "
╝;138×;6.16%;" "
═;129×;5.76%;" "
£;111×;4.96%;" "
╬;101×;4.51%;" "
®;89×;3.97%;" "
╦;60×;2.68%;" "
¤;58×;2.59%;" "
╔;57×;2.54%;" "
╩;54×;2.41%;" "
┼;52×;2.32%;" "
┴;42×;1.88%;" "
,;41×;1.83%;" "
Ø;35×;1.56%;" "
©;33×;1.47%;" "
█;29×;1.29%;" "
≡;17×;0.76%;" "
×;16×;0.71%;" "
';16×;0.71%;" "
`;10×;0.45%;" "
.;9×;0.4%;" "
";";7×;0.31%;" "
:;6×;0.27%;" "
!;6×;0.27%;" "
╚;4×;0.18%;" "
§;4×;0.18%;" "
_;4×;0.18%;" "
?;3×;0.13%;" "
-;3×;0.13%;" "
~;2×;0.09%;" "
(;1×;0.04%;" "
);1×;0.04%;" "
▄;1×;0.04%;" "
4;1×;0.04%;" "
2;1×;0.04%;" "
{;1×;0.04%;" "
};1×;0.04%;" "
